Frequency (Hz),RT60 (s)
50,0.6195130957645207
63,0.5705950105149658
80,0.7846895047534282
100,0.8177635832979671
125,0.7565987728133786
250,1.070041408907179
500,0.6675827178845627
1000,0.45490802469613295
2000,0.49849467806574027
4000,0.5338102434425056
8000,0.489671726301465
12000,0.38499777442866995
16000,0.33117049972901963
